participant,lex,spell,resp,rt,prev.rt,rt.raw,accuracy
20,N,staud,N,977,511,977,TRUE
9,N,dinbuss,N,565,765,565,TRUE
47,N,snilling,N,562,496,562,TRUE
103,N,gancens,N,572,656,572,TRUE
45,W,filled,W,659,981,659,TRUE
73,W,journals,W,538,1505,538,TRUE
24,W,apache,W,626,546,626,TRUE
11,W,flake,W,566,717,566,TRUE
32,W,reliefs,W,922,1471,922,TRUE
96,N,sarves,N,555,806,555,TRUE
82,W,deceits,W,657,728,657,TRUE
37,W,nothings,N,NA,552,712,FALSE
52,N,chuespies,N,427,539,427,TRUE
96,N,mowny,N,1352,1020,1352,TRUE
96,N,cranned,N,907,573,907,TRUE
89,N,flud,N,742,834,742,TRUE
3,N,bromble,N,523,502,523,TRUE
7,N,trubbles,N,782,458,782,TRUE
35,N,playfound,N,643,663,643,TRUE
46,W,mirage,W,778,571,778,TRUE
65,N,whimed,N,729,1371,729,TRUE
28,W,stelae,N,NA,678,497,FALSE
85,W,forewarned,N,NA,525,350,FALSE
46,N,prazing,N,618,555,618,TRUE
75,W,poser,W,696,519,696,TRUE
35,N,coubrerve,N,876,656,876,TRUE
36,W,outposts,W,560,461,560,TRUE
24,W,owl,W,470,535,470,TRUE
14,N,lart,N,599,684,599,TRUE
97,W,soda,W,436,447,436,TRUE
17,N,notter,N,523,605,523,TRUE
18,N,tesslier,N,560,477,560,TRUE
54,W,curbs,W,697,653,697,TRUE
81,N,fugate,N,425,403,425,TRUE
105,N,pamps,N,NA,884,1494,TRUE
27,W,outgrowth,N,NA,633,1014,FALSE
43,N,eitbrows,N,774,650,774,TRUE
89,W,chards,N,NA,545,754,FALSE
89,N,cyrios,N,611,563,611,TRUE
29,N,placker,N,542,558,542,TRUE
82,W,kitty,W,431,476,431,TRUE
90,W,mingled,W,637,558,637,TRUE
78,N,feas,N,515,498,515,TRUE
82,W,cluck,W,576,694,576,TRUE
42,N,pinding,N,609,528,609,TRUE
6,N,checsons,N,491,555,491,TRUE
97,N,gruckle,N,618,1505,618,TRUE
