school,size,sector,pracad,disclim,himinty,meanses,pupil,minority,sex,ses,mathach
s1224,842,Public,0.35,1.597,0,-0.428,p1,No,Female,-1.528,5.876
s1224,842,Public,0.35,1.597,0,-0.428,p2,No,Female,-0.588,19.708
s1224,842,Public,0.35,1.597,0,-0.428,p3,No,Male,-0.528,20.349
s1224,842,Public,0.35,1.597,0,-0.428,p4,No,Male,-0.668,8.781
s1224,842,Public,0.35,1.597,0,-0.428,p5,No,Male,-0.158,17.898
s1224,842,Public,0.35,1.597,0,-0.428,p6,No,Male,0.022,4.583
s1224,842,Public,0.35,1.597,0,-0.428,p7,No,Female,-0.618,-2.832
s1224,842,Public,0.35,1.597,0,-0.428,p8,No,Male,-0.998,0.523
s1224,842,Public,0.35,1.597,0,-0.428,p9,No,Female,-0.888,1.527
s1224,842,Public,0.35,1.597,0,-0.428,p10,No,Male,-0.458,21.521
s1224,842,Public,0.35,1.597,0,-0.428,p11,No,Female,-1.448,9.475
s1224,842,Public,0.35,1.597,0,-0.428,p12,No,Female,-0.658,16.057
s1224,842,Public,0.35,1.597,0,-0.428,p13,No,Male,-0.468,21.178
s1224,842,Public,0.35,1.597,0,-0.428,p14,No,Female,-0.988,20.178
s1224,842,Public,0.35,1.597,0,-0.428,p15,No,Male,0.332,20.349
s1224,842,Public,0.35,1.597,0,-0.428,p16,No,Female,-0.678,20.508
s1224,842,Public,0.35,1.597,0,-0.428,p17,No,Male,-0.298,19.338
s1224,842,Public,0.35,1.597,0,-0.428,p18,Yes,Male,-1.528,4.145
s1224,842,Public,0.35,1.597,0,-0.428,p19,No,Female,0.042,2.927
s1224,842,Public,0.35,1.597,0,-0.428,p20,No,Male,-0.078,16.405
s1224,842,Public,0.35,1.597,0,-0.428,p21,No,Female,0.062,13.653
s1224,842,Public,0.35,1.597,0,-0.428,p22,No,Female,-0.128,6.558
s1224,842,Public,0.35,1.597,0,-0.428,p23,No,Female,0.472,9.653
s1224,842,Public,0.35,1.597,0,-0.428,p24,No,Male,-0.468,3.154
s1224,842,Public,0.35,1.597,0,-0.428,p25,Yes,Female,-1.248,4.753
s1224,842,Public,0.35,1.597,0,-0.428,p26,No,Male,-0.628,21.721
s1224,842,Public,0.35,1.597,0,-0.428,p27,No,Female,0.832,5.166
